[2026-02-21 00:02:00] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 1, 'docena_2': 4, 'docena_3': 0, 'columna_1': 0, 'columna_2': 4, 'columna_3': 1}
[2026-02-21 00:02:07] Auto Roulette Delays={'docena_1': 2, 'docena_2': 1, 'docena_3': 0, 'columna_1': 0, 'columna_2': 6, 'columna_3': 2} TH=10
[2026-02-21 00:02:09] CHECKING Brazilian Roulette: Threshold=10 Delays={'docena_1': 3, 'docena_2': 0, 'docena_3': 2, 'columna_1': 1, 'columna_2': 4, 'columna_3': 0}
[2026-02-21 00:02:09] Brazilian Roulette Delays={'docena_1': 3, 'docena_2': 0, 'docena_3': 2, 'columna_1': 1, 'columna_2': 4, 'columna_3': 0} TH=10
[2026-02-21 00:02:10] CHECKING Roulette 1: Threshold=10 Delays={'docena_1': 1, 'docena_2': 2, 'docena_3': 0, 'columna_1': 2, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:02:10] Roulette 1 Delays={'docena_1': 1, 'docena_2': 2, 'docena_3': 0, 'columna_1': 2, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:02:15] CHECKING Mega Roulette: Threshold=10 Delays={'docena_1': 7, 'docena_2': 0, 'docena_3': 1, 'columna_1': 2, 'columna_2': 6, 'columna_3': 0}
[2026-02-21 00:02:15] Mega Roulette Delays={'docena_1': 7, 'docena_2': 0, 'docena_3': 1, 'columna_1': 2, 'columna_2': 6, 'columna_3': 0} TH=10
[2026-02-21 00:02:18] CHECKING Roulette 2 Extra Time: Threshold=10 Delays={'docena_1': 4, 'docena_2': 2, 'docena_3': 0, 'columna_1': 0, 'columna_2': 1, 'columna_3': 3}
[2026-02-21 00:02:18] Roulette 2 Extra Time Delays={'docena_1': 4, 'docena_2': 2, 'docena_3': 0, 'columna_1': 0, 'columna_2': 1, 'columna_3': 3} TH=10
[2026-02-21 00:02:27] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 2, 'docena_2': 0, 'docena_3': 1, 'columna_1': 0, 'columna_2': 5, 'columna_3': 2}
[2026-02-21 00:02:27] Ruleta Latina Delays={'docena_1': 2, 'docena_2': 0, 'docena_3': 1, 'columna_1': 0, 'columna_2': 5, 'columna_3': 2} TH=10
[2026-02-21 00:02:29] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 6, 'docena_2': 3, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0}
[2026-02-21 00:02:29] Roulette Macao Delays={'docena_1': 6, 'docena_2': 3, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0} TH=10
[2026-02-21 00:02:31] CHECKING Auto Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 0, 'columna_2': 7, 'columna_3': 3}
[2026-02-21 00:02:31] Auto Roulette Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 0, 'columna_2': 7, 'columna_3': 3} TH=10
[2026-02-21 00:02:35] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 1, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0}
[2026-02-21 00:02:35] Roulette 3 Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 1, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0} TH=10
[2026-02-21 00:02:40] CHECKING Brazilian Roulette: Threshold=10 Delays={'docena_1': 4, 'docena_2': 1, 'docena_3': 0, 'columna_1': 2, 'columna_2': 5, 'columna_3': 0}
[2026-02-21 00:02:40] Brazilian Roulette Delays={'docena_1': 4, 'docena_2': 1, 'docena_3': 0, 'columna_1': 2, 'columna_2': 5, 'columna_3': 0} TH=10
[2026-02-21 00:02:46] CHECKING Roulette 1: Threshold=10 Delays={'docena_1': 2, 'docena_2': 0, 'docena_3': 1, 'columna_1': 3, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:02:46] Roulette 1 Delays={'docena_1': 2, 'docena_2': 0, 'docena_3': 1, 'columna_1': 3, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:02:49] CHECKING Brazilian Mega Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 3, 'columna_1': 4, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:02:49] Brazilian Mega Roulette Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 3, 'columna_1': 4, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:02:49] CHECKING Lucky 6 Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 3, 'columna_1': 3, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:02:49] Lucky 6 Roulette Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 3, 'columna_1': 3, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:02:58] CHECKING Mega Roulette: Threshold=10 Delays={'docena_1': 8, 'docena_2': 0, 'docena_3': 2, 'columna_1': 3, 'columna_2': 7, 'columna_3': 0}
[2026-02-21 00:02:58] Mega Roulette Delays={'docena_1': 8, 'docena_2': 0, 'docena_3': 2, 'columna_1': 3, 'columna_2': 7, 'columna_3': 0} TH=10
[2026-02-21 00:03:00] CHECKING Roulette 2 Extra Time: Threshold=10 Delays={'docena_1': 5, 'docena_2': 3, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0}
[2026-02-21 00:03:00] Roulette 2 Extra Time Delays={'docena_1': 5, 'docena_2': 3, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0} TH=10
[2026-02-21 00:03:06] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 7, 'docena_2': 0, 'docena_3': 1, 'columna_1': 2, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:03:06] Roulette Macao Delays={'docena_1': 7, 'docena_2': 0, 'docena_3': 1, 'columna_1': 2, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:03:09] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 2, 'columna_1': 1, 'columna_2': 6, 'columna_3': 0}
[2026-02-21 00:03:09] Ruleta Latina Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 2, 'columna_1': 1, 'columna_2': 6, 'columna_3': 0} TH=10
[2026-02-21 00:03:11] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 2, 'columna_1': 0, 'columna_2': 3, 'columna_3': 1}
[2026-02-21 00:03:11] Roulette 3 Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 2, 'columna_1': 0, 'columna_2': 3, 'columna_3': 1} TH=10
[2026-02-21 00:03:14] CHECKING Auto Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 2, 'columna_1': 1, 'columna_2': 8, 'columna_3': 0}
[2026-02-21 00:03:14] Auto Roulette Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 2, 'columna_1': 1, 'columna_2': 8, 'columna_3': 0} TH=10
[2026-02-21 00:03:22] CHECKING Brazilian Roulette: Threshold=10 Delays={'docena_1': 5, 'docena_2': 0, 'docena_3': 1, 'columna_1': 0, 'columna_2': 6, 'columna_3': 1}
[2026-02-21 00:03:22] Brazilian Roulette Delays={'docena_1': 5, 'docena_2': 0, 'docena_3': 1, 'columna_1': 0, 'columna_2': 6, 'columna_3': 1} TH=10
[2026-02-21 00:03:23] CHECKING Roulette 1: Threshold=10 Delays={'docena_1': 3, 'docena_2': 1, 'docena_3': 0, 'columna_1': 4, 'columna_2': 0, 'columna_3': 2}
[2026-02-21 00:03:23] Roulette 1 Delays={'docena_1': 3, 'docena_2': 1, 'docena_3': 0, 'columna_1': 4, 'columna_2': 0, 'columna_3': 2} TH=10
[2026-02-21 00:03:31] CHECKING Brazilian Mega Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 0, 'docena_3': 4, 'columna_1': 0, 'columna_2': 1, 'columna_3': 2}
[2026-02-21 00:03:31] Brazilian Mega Roulette Delays={'docena_1': 1, 'docena_2': 0, 'docena_3': 4, 'columna_1': 0, 'columna_2': 1, 'columna_3': 2} TH=10
[2026-02-21 00:03:32] CHECKING Lucky 6 Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 3, 'docena_3': 0, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1}
[2026-02-21 00:03:32] Lucky 6 Roulette Delays={'docena_1': 1, 'docena_2': 3, 'docena_3': 0, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1} TH=10
[2026-02-21 00:03:40] CHECKING Mega Roulette: Threshold=10 Delays={'docena_1': 9, 'docena_2': 0, 'docena_3': 3, 'columna_1': 4, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:03:40] Mega Roulette Delays={'docena_1': 9, 'docena_2': 0, 'docena_3': 3, 'columna_1': 4, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:03:42] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 2, 'columna_1': 3, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:03:42] Roulette Macao Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 2, 'columna_1': 3, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:03:43] CHECKING Roulette 2 Extra Time: Threshold=10 Delays={'docena_1': 6, 'docena_2': 4, 'docena_3': 0, 'columna_1': 2, 'columna_2': 3, 'columna_3': 0}
[2026-02-21 00:03:43] Roulette 2 Extra Time Delays={'docena_1': 6, 'docena_2': 4, 'docena_3': 0, 'columna_1': 2, 'columna_2': 3, 'columna_3': 0} TH=10
[2026-02-21 00:03:46] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 1, 'docena_2': 2, 'docena_3': 0, 'columna_1': 0, 'columna_2': 7, 'columna_3': 1}
[2026-02-21 00:03:46] Ruleta Latina Delays={'docena_1': 1, 'docena_2': 2, 'docena_3': 0, 'columna_1': 0, 'columna_2': 7, 'columna_3': 1} TH=10
[2026-02-21 00:03:48] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 1, 'docena_2': 5, 'docena_3': 3, 'columna_1': 1, 'columna_2': 4, 'columna_3': 2}
[2026-02-21 00:03:48] Roulette 3 Delays={'docena_1': 1, 'docena_2': 5, 'docena_3': 3, 'columna_1': 1, 'columna_2': 4, 'columna_3': 2} TH=10
[2026-02-21 00:05:25] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 3, 'docena_2': 1, 'docena_3': 0, 'columna_1': 2, 'columna_2': 9, 'columna_3': 0}
[2026-02-21 00:05:25] Ruleta Latina Delays={'docena_1': 3, 'docena_2': 1, 'docena_3': 0, 'columna_1': 2, 'columna_2': 9, 'columna_3': 0} TH=10
[2026-02-21 00:05:26] CHECKING Mega Roulette: Threshold=10 Delays={'docena_1': 11, 'docena_2': 2, 'docena_3': 0, 'columna_1': 6, 'columna_2': 0, 'columna_3': 1}
   >>> SENT ALERT for docena_1 (Delay 11)
[2026-02-21 00:05:27] Mega Roulette Delays={'docena_1': 11, 'docena_2': 2, 'docena_3': 0, 'columna_1': 6, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:05:28] CHECKING Brazilian Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 2, 'columna_1': 1, 'columna_2': 0, 'columna_3': 4}
[2026-02-21 00:05:28] Brazilian Roulette Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 2, 'columna_1': 1, 'columna_2': 0, 'columna_3': 4} TH=10
[2026-02-21 00:05:28] CHECKING Roulette 1: Threshold=10 Delays={'docena_1': 1, 'docena_2': 4, 'docena_3': 0, 'columna_1': 2, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:05:28] Roulette 1 Delays={'docena_1': 1, 'docena_2': 4, 'docena_3': 0, 'columna_1': 2, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:05:29] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 3, 'docena_2': 0, 'docena_3': 5, 'columna_1': 3, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:05:29] Roulette 3 Delays={'docena_1': 3, 'docena_2': 0, 'docena_3': 5, 'columna_1': 3, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:05:29] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 2, 'docena_2': 1, 'docena_3': 0, 'columna_1': 5, 'columna_2': 0, 'columna_3': 2}
[2026-02-21 00:05:29] Roulette Macao Delays={'docena_1': 2, 'docena_2': 1, 'docena_3': 0, 'columna_1': 5, 'columna_2': 0, 'columna_3': 2} TH=10
[2026-02-21 00:05:30] CHECKING Roulette 2 Extra Time: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 2, 'columna_1': 4, 'columna_2': 5, 'columna_3': 0}
[2026-02-21 00:05:30] Roulette 2 Extra Time Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 2, 'columna_1': 4, 'columna_2': 5, 'columna_3': 0} TH=10
[2026-02-21 00:05:31] CHECKING Brazilian Mega Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 2, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:05:31] Brazilian Mega Roulette Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 2, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:05:31] CHECKING Lucky 6 Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 5, 'docena_3': 2, 'columna_1': 2, 'columna_2': 1, 'columna_3': 3}
[2026-02-21 00:05:31] Lucky 6 Roulette Delays={'docena_1': 1, 'docena_2': 5, 'docena_3': 2, 'columna_1': 2, 'columna_2': 1, 'columna_3': 3} TH=10
[2026-02-21 00:05:32] CHECKING Auto Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 6, 'docena_3': 5, 'columna_1': 0, 'columna_2': 11, 'columna_3': 2}
   >>> SENT ALERT for columna_2 (Delay 11)
[2026-02-21 00:05:33] Auto Roulette Delays={'docena_1': 0, 'docena_2': 6, 'docena_3': 5, 'columna_1': 0, 'columna_2': 11, 'columna_3': 2} TH=10
[2026-02-21 00:05:34] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 0, 'columna_2': 10, 'columna_3': 1}
   >>> SENT ALERT for columna_2 (Delay 10)
[2026-02-21 00:05:35] Ruleta Latina Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 0, 'columna_2': 10, 'columna_3': 1} TH=10
[2026-02-21 00:05:38] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 6, 'columna_1': 0, 'columna_2': 1, 'columna_3': 2}
[2026-02-21 00:05:38] Roulette 3 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 6, 'columna_1': 0, 'columna_2': 1, 'columna_3': 2} TH=10
[2026-02-21 00:05:38] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 6, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:05:38] Roulette Macao Delays={'docena_1': 0, 'docena_2': 2, 'docena_3': 1, 'columna_1': 6, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:05:39] CHECKING Brazilian Mega Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 3, 'docena_3': 0, 'columna_1': 3, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:05:39] Brazilian Mega Roulette Delays={'docena_1': 1, 'docena_2': 3, 'docena_3': 0, 'columna_1': 3, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:05:40] CHECKING Lucky 6 Roulette: Threshold=10 Delays={'docena_1': 2, 'docena_2': 6, 'docena_3': 0, 'columna_1': 3, 'columna_2': 0, 'columna_3': 4}
[2026-02-21 00:05:40] Lucky 6 Roulette Delays={'docena_1': 2, 'docena_2': 6, 'docena_3': 0, 'columna_1': 3, 'columna_2': 0, 'columna_3': 4} TH=10
[2026-02-21 00:05:40] CHECKING Auto Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 7, 'docena_3': 6, 'columna_1': 1, 'columna_2': 12, 'columna_3': 0}
   >>> SKIPPED columna_2 (Cooldown)
[2026-02-21 00:05:40] Auto Roulette Delays={'docena_1': 0, 'docena_2': 7, 'docena_3': 6, 'columna_1': 1, 'columna_2': 12, 'columna_3': 0} TH=10
[2026-02-21 00:05:51] CHECKING Roulette 2 Extra Time: Threshold=10 Delays={'docena_1': 1, 'docena_2': 0, 'docena_3': 3, 'columna_1': 5, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:05:51] Roulette 2 Extra Time Delays={'docena_1': 1, 'docena_2': 0, 'docena_3': 3, 'columna_1': 5, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:05:55] CHECKING Brazilian Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 3, 'columna_1': 0, 'columna_2': 1, 'columna_3': 5}
[2026-02-21 00:05:55] Brazilian Roulette Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 3, 'columna_1': 0, 'columna_2': 1, 'columna_3': 5} TH=10
[2026-02-21 00:05:56] CHECKING Roulette 1: Threshold=10 Delays={'docena_1': 2, 'docena_2': 5, 'docena_3': 0, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1}
[2026-02-21 00:05:56] Roulette 1 Delays={'docena_1': 2, 'docena_2': 5, 'docena_3': 0, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1} TH=10
[2026-02-21 00:06:01] CHECKING Mega Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 1, 'columna_1': 7, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:06:01] Mega Roulette Delays={'docena_1': 0, 'docena_2': 3, 'docena_3': 1, 'columna_1': 7, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:06:12] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 1, 'docena_2': 0, 'docena_3': 2, 'columna_1': 1, 'columna_2': 0, 'columna_3': 2}
[2026-02-21 00:06:12] Ruleta Latina Delays={'docena_1': 1, 'docena_2': 0, 'docena_3': 2, 'columna_1': 1, 'columna_2': 0, 'columna_3': 2} TH=10
[2026-02-21 00:06:14] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 1, 'docena_2': 2, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0}
[2026-02-21 00:06:14] Roulette 3 Delays={'docena_1': 1, 'docena_2': 2, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0} TH=10
[2026-02-21 00:06:15] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 1, 'docena_2': 3, 'docena_3': 0, 'columna_1': 7, 'columna_2': 0, 'columna_3': 1}
[2026-02-21 00:06:15] Roulette Macao Delays={'docena_1': 1, 'docena_2': 3, 'docena_3': 0, 'columna_1': 7, 'columna_2': 0, 'columna_3': 1} TH=10
[2026-02-21 00:06:16] CHECKING Lucky 6 Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 7, 'docena_3': 1, 'columna_1': 0, 'columna_2': 1, 'columna_3': 5}
[2026-02-21 00:06:16] Lucky 6 Roulette Delays={'docena_1': 0, 'docena_2': 7, 'docena_3': 1, 'columna_1': 0, 'columna_2': 1, 'columna_3': 5} TH=10
[2026-02-21 00:06:22] CHECKING Brazilian Mega Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 1, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1}
[2026-02-21 00:06:22] Brazilian Mega Roulette Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 1, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1} TH=10
[2026-02-21 00:06:23] CHECKING Auto Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 8, 'docena_3': 7, 'columna_1': 2, 'columna_2': 13, 'columna_3': 0}
   >>> SKIPPED columna_2 (Cooldown)
[2026-02-21 00:06:23] Auto Roulette Delays={'docena_1': 0, 'docena_2': 8, 'docena_3': 7, 'columna_1': 2, 'columna_2': 13, 'columna_3': 0} TH=10
[2026-02-21 00:06:32] CHECKING Brazilian Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 5, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0}
[2026-02-21 00:06:32] Brazilian Roulette Delays={'docena_1': 1, 'docena_2': 5, 'docena_3': 0, 'columna_1': 1, 'columna_2': 2, 'columna_3': 0} TH=10
[2026-02-21 00:06:34] CHECKING Roulette 2 Extra Time: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 4, 'columna_1': 0, 'columna_2': 1, 'columna_3': 2}
[2026-02-21 00:06:34] Roulette 2 Extra Time Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 4, 'columna_1': 0, 'columna_2': 1, 'columna_3': 2} TH=10
[2026-02-21 00:06:38] CHECKING Roulette 1: Threshold=10 Delays={'docena_1': 0, 'docena_2': 6, 'docena_3': 1, 'columna_1': 0, 'columna_2': 3, 'columna_3': 2}
[2026-02-21 00:06:38] Roulette 1 Delays={'docena_1': 0, 'docena_2': 6, 'docena_3': 1, 'columna_1': 0, 'columna_2': 3, 'columna_3': 2} TH=10
[2026-02-21 00:06:43] CHECKING Mega Roulette: Threshold=10 Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 2, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1}
[2026-02-21 00:06:43] Mega Roulette Delays={'docena_1': 0, 'docena_2': 4, 'docena_3': 2, 'columna_1': 0, 'columna_2': 2, 'columna_3': 1} TH=10
[2026-02-21 00:06:52] CHECKING Roulette Macao: Threshold=10 Delays={'docena_1': 2, 'docena_2': 4, 'docena_3': 0, 'columna_1': 8, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:06:52] Roulette Macao Delays={'docena_1': 2, 'docena_2': 4, 'docena_3': 0, 'columna_1': 8, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:06:55] CHECKING Ruleta Latina: Threshold=10 Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 3, 'columna_1': 2, 'columna_2': 1, 'columna_3': 0}
[2026-02-21 00:06:55] Ruleta Latina Delays={'docena_1': 0, 'docena_2': 1, 'docena_3': 3, 'columna_1': 2, 'columna_2': 1, 'columna_3': 0} TH=10
[2026-02-21 00:06:57] CHECKING Roulette 3: Threshold=10 Delays={'docena_1': 2, 'docena_2': 3, 'docena_3': 0, 'columna_1': 0, 'columna_2': 3, 'columna_3': 1}
[2026-02-21 00:06:57] Roulette 3 Delays={'docena_1': 2, 'docena_2': 3, 'docena_3': 0, 'columna_1': 0, 'columna_2': 3, 'columna_3': 1} TH=10
[2026-02-21 00:06:59] CHECKING Lucky 6 Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 8, 'docena_3': 0, 'columna_1': 0, 'columna_2': 2, 'columna_3': 6}
[2026-02-21 00:06:59] Lucky 6 Roulette Delays={'docena_1': 1, 'docena_2': 8, 'docena_3': 0, 'columna_1': 0, 'columna_2': 2, 'columna_3': 6} TH=10
[2026-02-21 00:07:00] CHECKING Auto Roulette: Threshold=10 Delays={'docena_1': 1, 'docena_2': 9, 'docena_3': 0, 'columna_1': 3, 'columna_2': 14, 'columna_3': 0}
   >>> SKIPPED columna_2 (Cooldown)
[2026-02-21 00:07:00] Auto Roulette Delays={'docena_1': 1, 'docena_2': 9, 'docena_3': 0, 'columna_1': 3, 'columna_2': 14, 'columna_3': 0} TH=10
